Site,Species,Breed,Pet_DOB,Gender,Neutered,Purchase_Price
Admiral,Dog,Beagle,21/09/2015,Male,Yes,0
Admiral,Dog,Bichon Frise,01/11/2017,Female,Yes,600
Admiral,Dog,Bulldog,08/11/2021,Male,No,800
Admiral,Dog,Bulldog,01/07/2021,Male,No,4000
Admiral,Dog,Bulldog,01/08/2020,Male,No,2500
Admiral,Dog,Bulldog,01/02/2017,Male,Yes,1800
Admiral,Dog,Cockerpoo,01/12/2019,Male,Yes,800
Admiral,Dog,Dogue de Bordeaux,01/11/2017,Female,Yes,1000
Admiral,Dog,Giant Schnauzer,19/01/2018,Female,Yes,900
Admiral,Dog,Poodle (Toy),01/01/2021,Female,Yes,3500
Admiral,Dog,Saluki,23/03/2020,Female,No,350
Admiral,Dog,Shetland Sheepdog,01/07/2015,Female,No,700
Admiral,Dog,Siberian Husky,01/10/2018,Female,Yes,300
Admiral,Dog,Siberian Husky,10/09/2017,Male,Yes,300
Admiral,Dog,Spaniel (Cocker),28/08/2021,Female,No,600
Admiral,Dog,Spaniel (Cocker),01/06/2020,Male,No,1000
Admiral,Dog,Spaniel (Cocker),01/06/2019,Male,No,400
Admiral,Dog,A LARGE MONGREL (MORE THAN 20KG),02/10/2021,Female,No,400
Admiral,Dog,A MEDIUM MONGREL (10 - 20KG),01/09/2021,Male,No,800
Admiral,Dog,A MEDIUM MONGREL (10 - 20KG),11/06/2019,Male,No,150
Admiral,Dog,Alsatian,01/09/2018,Female,No,150
Admiral,Dog,Australian Shepherd Dog,01/01/2022,Female,No,1800
Admiral,Dog,Basenji,23/11/2020,Male,Yes,1500
Admiral,Dog,Beagle,01/10/2019,Female,Yes,1000
Admiral,Dog,Beagle,15/09/2014,Male,Yes,150
Admiral,Dog,Belgian Shepherd Dog (Malinois),01/12/2021,Male,No,1000
Admiral,Dog,Bulldog,18/02/2020,Male,No,200
Admiral,Dog,Bulldog,01/07/2018,Male,No,2000
Admiral,Dog,Cavalier King Charles Spaniel,01/08/2021,Female,Yes,2000
Admiral,Dog,Chow Chow,01/10/2016,Female,No,2000
Admiral,Dog,Dobermann,25/01/2022,Male,No,1700
