Site,Pet,Breed,Age,Gender,Neutered,Purchase Price,Monthly,Yearly,Vet Excess,Annual Condition Limit
Animal Friends,Dog,Cocker Spaniel,2,Male,Yes,Free,£9.59,£115.08,£99,1000
Animal Friends,Dog,Cocker Spaniel,2,Male,Yes,Free,£17.33,£207.96,£99,2000
Animal Friends,Dog,Cocker Spaniel,2,Male,Yes,Free,£24.98,£299.76,£99,4000
Animal Friends,Dog,Cocker Spaniel,2,Male,Yes,Free,£33.19,£398.28,£99,6000
Animal Friends,Dog,Cocker Spaniel,3,Male,Yes,Free,£9.59,£115.08,£99,1000
Animal Friends,Dog,Cocker Spaniel,3,Male,Yes,Free,£17.33,£207.96,£99,2000
Animal Friends,Dog,Cocker Spaniel,3,Male,Yes,Free,£24.98,£299.76,£99,4000
Animal Friends,Dog,Cocker Spaniel,3,Male,Yes,Free,£33.19,£398.28,£99,6000
Animal Friends,Dog,Cocker Spaniel,4,Male,Yes,Free,£9.59,£115.08,£99,1000
Animal Friends,Dog,Cocker Spaniel,4,Male,Yes,Free,£17.33,£207.96,£99,2000
Animal Friends,Dog,Cocker Spaniel,4,Male,Yes,Free,£24.98,£299.76,£99,4000
Animal Friends,Dog,Cocker Spaniel,4,Male,Yes,Free,£33.19,£398.28,£99,6000
Animal Friends,Dog,Cocker Spaniel,5,Male,Yes,Free,£11.72,£140.64,£99,1000
Animal Friends,Dog,Cocker Spaniel,5,Male,Yes,Free,£21.17,£254.04,£99,2000
Animal Friends,Dog,Cocker Spaniel,5,Male,Yes,Free,£30.53,£366.36,£99,4000
Animal Friends,Dog,Cocker Spaniel,5,Male,Yes,Free,£40.56,£486.72,£99,6000
Animal Friends,Dog,Cocker Spaniel,6,Male,Yes,Free,£14.16,£169.92,£99,1000
Animal Friends,Dog,Cocker Spaniel,6,Male,Yes,Free,£25.57,£306.84,£99,2000
Animal Friends,Dog,Cocker Spaniel,6,Male,Yes,Free,£36.87,£442.44,£99,4000
Animal Friends,Dog,Cocker Spaniel,6,Male,Yes,Free,£48.98,£587.76,£99,6000
Animal Friends,Dog,Cocker Spaniel,7,Male,Yes,Free,£16.89,£202.68,£99,1000
Animal Friends,Dog,Cocker Spaniel,7,Male,Yes,Free,£30.52,£366.24,£99,2000
Animal Friends,Dog,Cocker Spaniel,7,Male,Yes,Free,£44.00,£528.00,£99,4000
Animal Friends,Dog,Cocker Spaniel,7,Male,Yes,Free,£58.45,£701.40,£99,6000
Animal Friends,Dog,Cocker Spaniel,8,Male,Yes,Free,£13.52,£162.24,£99,1000
Animal Friends,Dog,Cocker Spaniel,8,Male,Yes,Free,£24.42,£293.04,£99,2000
Animal Friends,Dog,Cocker Spaniel,8,Male,Yes,Free,£35.20,£422.40,£99,4000
Animal Friends,Dog,Cocker Spaniel,8,Male,Yes,Free,£46.76,£561.12,£99,6000
Animal Friends,Dog,Cocker Spaniel,9,Male,Yes,Free,£15.39,£184.68,£99,1000
Animal Friends,Dog,Cocker Spaniel,9,Male,Yes,Free,£27.80,£333.60,£99,2000
Animal Friends,Dog,Cocker Spaniel,9,Male,Yes,Free,£40.08,£480.96,£99,4000
Animal Friends,Dog,Cocker Spaniel,9,Male,Yes,Free,£53.26,£639.12,£99,6000
Animal Friends,Dog,Cocker Spaniel,10,Male,Yes,Free,£17.07,£204.84,£99,1000
Animal Friends,Dog,Cocker Spaniel,10,Male,Yes,Free,£30.83,£369.96,£99,2000
Animal Friends,Dog,Cocker Spaniel,10,Male,Yes,Free,£44.45,£533.40,£99,4000
Animal Friends,Dog,Cocker Spaniel,10,Male,Yes,Free,£59.05,£708.60,£99,6000
Animal Friends,Dog,Cocker Spaniel,11,Male,Yes,Free,£18.89,£226.68,£99,1000
Animal Friends,Dog,Cocker Spaniel,11,Male,Yes,Free,£34.13,£409.56,£99,2000
Animal Friends,Dog,Cocker Spaniel,11,Male,Yes,Free,£49.21,£590.52,£99,4000
Animal Friends,Dog,Cocker Spaniel,11,Male,Yes,Free,£65.37,£784.44,£99,6000
Animal Friends,Dog,Cocker Spaniel,12,Male,Yes,Free,£19.58,£234.96,£99,1000
Animal Friends,Dog,Cocker Spaniel,12,Male,Yes,Free,£35.37,£424.44,£99,2000
Animal Friends,Dog,Cocker Spaniel,12,Male,Yes,Free,£50.99,£611.88,£99,4000
Animal Friends,Dog,Cocker Spaniel,12,Male,Yes,Free,£67.75,£813.00,£99,6000
Animal Friends,Dog,Cocker Spaniel,13,Male,Yes,Free,£19.43,£233.16,£99,1000
Animal Friends,Dog,Cocker Spaniel,13,Male,Yes,Free,£35.11,£421.32,£99,2000
Animal Friends,Dog,Cocker Spaniel,13,Male,Yes,Free,£50.62,£607.44,£99,4000
Animal Friends,Dog,Cocker Spaniel,13,Male,Yes,Free,£67.24,£806.88,£99,6000
Animal Friends,Dog,Abyssinian Sand Terrier,4,Male,Yes,Free,£8.42,£101.04,£99,1000
Animal Friends,Dog,Abyssinian Sand Terrier,4,Male,Yes,Free,£15.21,£182.52,£99,2000
Animal Friends,Dog,Abyssinian Sand Terrier,4,Male,Yes,Free,£21.93,£263.16,£99,4000
Animal Friends,Dog,Abyssinian Sand Terrier,4,Male,Yes,Free,£29.13,£349.56,£99,6000
Animal Friends,Dog,Affenpinscher,4,Male,Yes,Free,£8.42,£101.04,£99,1000
Animal Friends,Dog,Affenpinscher,4,Male,Yes,Free,£15.21,£182.52,£99,2000
Animal Friends,Dog,Affenpinscher,4,Male,Yes,Free,£21.93,£263.16,£99,4000
Animal Friends,Dog,Affenpinscher,4,Male,Yes,Free,£29.13,£349.56,£99,6000
Animal Friends,Dog,Afghan Hound,4,Male,Yes,Free,£13.47,£161.64,£99,1000
Animal Friends,Dog,Afghan Hound,4,Male,Yes,Free,£24.34,£292.08,£99,2000
Animal Friends,Dog,Afghan Hound,4,Male,Yes,Free,£35.10,£421.20,£99,4000
Animal Friends,Dog,Afghan Hound,4,Male,Yes,Free,£46.63,£559.56,£99,6000
Animal Friends,Dog,African Crested Dog,4,Male,Yes,Free,£8.42,£101.04,£99,1000
Animal Friends,Dog,African Crested Dog,4,Male,Yes,Free,£15.21,£182.52,£99,2000
Animal Friends,Dog,African Crested Dog,4,Male,Yes,Free,£21.93,£263.16,£99,4000
Animal Friends,Dog,African Crested Dog,4,Male,Yes,Free,£29.13,£349.56,£99,6000
Animal Friends,Dog,African Hairless,4,Male,Yes,Free,£8.42,£101.04,£99,1000
Animal Friends,Dog,African Hairless,4,Male,Yes,Free,£15.21,£182.52,£99,2000
Animal Friends,Dog,African Hairless,4,Male,Yes,Free,£21.93,£263.16,£99,4000
Animal Friends,Dog,African Hairless,4,Male,Yes,Free,£29.13,£349.56,£99,6000
Animal Friends,Dog,Ainu (Hokkaido),4,Male,Yes,Free,£9.17,£110.04,£99,1000
Animal Friends,Dog,Ainu (Hokkaido),4,Male,Yes,Free,£16.56,£198.72,£99,2000
Animal Friends,Dog,Ainu (Hokkaido),4,Male,Yes,Free,£23.88,£286.56,£99,4000
Animal Friends,Dog,Ainu (Hokkaido),4,Male,Yes,Free,£31.73,£380.76,£99,6000
Animal Friends,Dog,Ainu-ken,4,Male,Yes,Free,£9.17,£110.04,£99,1000
