Site,Pet,Breed,Age,Gender,Neutered,Purchase Price,Monthly,Yearly,Vet Excess,Annual Condition Limit
Animal Friends,Dog,Japanese Chin,4,Male,Yes,Free,£11.73,£140.76,£99,1000
Animal Friends,Dog,Japanese Chin,4,Male,Yes,Free,£21.18,£254.16,£99,2000
Animal Friends,Dog,Japanese Chin,4,Male,Yes,Free,£30.53,£366.36,£99,4000
Animal Friends,Dog,Japanese Chin,4,Male,Yes,Free,£40.56,£486.72,£99,6000
Animal Friends,Dog,Japanese Shiba Inu,4,Male,Yes,Free,£9.17,£110.04,£99,1000
Animal Friends,Dog,Japanese Shiba Inu,4,Male,Yes,Free,£16.56,£198.72,£99,2000
Animal Friends,Dog,Japanese Shiba Inu,4,Male,Yes,Free,£23.88,£286.56,£99,4000
Animal Friends,Dog,Japanese Shiba Inu,4,Male,Yes,Free,£31.73,£380.76,£99,6000
Animal Friends,Dog,Japanese Spaniel,4,Male,Yes,Free,£10.94,£131.28,£99,1000
Animal Friends,Dog,Japanese Spaniel,4,Male,Yes,Free,£19.76,£237.12,£99,2000
Animal Friends,Dog,Japanese Spaniel,4,Male,Yes,Free,£28.49,£341.88,£99,4000
Animal Friends,Dog,Japanese Spaniel,4,Male,Yes,Free,£37.84,£454.08,£99,6000
Animal Friends,Dog,Japanese Spitz,4,Male,Yes,Free,£7.57,£90.84,£99,1000
Animal Friends,Dog,Japanese Spitz,4,Male,Yes,Free,£13.69,£164.28,£99,2000
Animal Friends,Dog,Japanese Spitz,4,Male,Yes,Free,£19.73,£236.76,£99,4000
Animal Friends,Dog,Japanese Spitz,4,Male,Yes,Free,£26.21,£314.52,£99,6000
Animal Friends,Dog,Jura Hound,4,Male,Yes,Free,£7.39,£88.68,£99,1000
Animal Friends,Dog,Jura Hound,4,Male,Yes,Free,£13.35,£160.20,£99,2000
Animal Friends,Dog,Jura Hound,4,Male,Yes,Free,£19.24,£230.88,£99,4000
Animal Friends,Dog,Jura Hound,4,Male,Yes,Free,£25.56,£306.72,£99,6000
Animal Friends,Dog,Karakachan,4,Male,Yes,Free,£20.74,£248.88,£99,1000
Animal Friends,Dog,Karakachan,4,Male,Yes,Free,£37.46,£449.52,£99,2000
Animal Friends,Dog,Karakachan,4,Male,Yes,Free,£54.02,£648.24,£99,4000
Animal Friends,Dog,Karakachan,4,Male,Yes,Free,£71.76,£861.12,£99,6000
Animal Friends,Dog,Keeshond,4,Male,Yes,Free,£9.95,£119.40,£99,1000
Animal Friends,Dog,Keeshond,4,Male,Yes,Free,£17.96,£215.52,£99,2000
Animal Friends,Dog,Keeshond,4,Male,Yes,Free,£25.91,£310.92,£99,4000
Animal Friends,Dog,Keeshond,4,Male,Yes,Free,£34.41,£412.92,£99,6000
Animal Friends,Dog,Kerry Blue Terrier,4,Male,Yes,Free,£8.42,£101.04,£99,1000
Animal Friends,Dog,Kerry Blue Terrier,4,Male,Yes,Free,£15.21,£182.52,£99,2000
Animal Friends,Dog,Kerry Blue Terrier,4,Male,Yes,Free,£21.93,£263.16,£99,4000
Animal Friends,Dog,Kerry Blue Terrier,4,Male,Yes,Free,£29.13,£349.56,£99,6000
Animal Friends,Dog,King Charles Cavalier Spaniel,4,Male,Yes,Free,£10.64,£127.68,£99,1000
Animal Friends,Dog,King Charles Cavalier Spaniel,4,Male,Yes,Free,£19.21,£230.52,£99,2000
Animal Friends,Dog,King Charles Cavalier Spaniel,4,Male,Yes,Free,£27.70,£332.40,£99,4000
Animal Friends,Dog,King Charles Cavalier Spaniel,4,Male,Yes,Free,£36.79,£441.48,£99,6000
Animal Friends,Dog,King Charles Spaniel,4,Male,Yes,Free,£10.64,£127.68,£99,1000
Animal Friends,Dog,King Charles Spaniel,4,Male,Yes,Free,£19.21,£230.52,£99,2000
