Species,Breed,Age,Gender,Neutered,Purchase Price,Product
Dog,Cocker Spaniel,2,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cocker Spaniel,3,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cocker Spaniel,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cocker Spaniel,5,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cocker Spaniel,6,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cocker Spaniel,7,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cocker Spaniel,8,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cocker Spaniel,9,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cocker Spaniel,10,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cocker Spaniel,11,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cocker Spaniel,12,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cocker Spaniel,13,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Abyssinian Sand Terrier,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Affenpinscher,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Afghan Hound,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,African Crested Dog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,African Hairless,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Ainu (Hokkaido),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Ainu-ken,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Airedale,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Airedale Terrier,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Aladseer,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Alaskan Husky,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Alaskan Kleekai,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Alaskan Malamute,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Alpine Dachsbracke,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,American Bulldog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,American Bullmastiff,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,American Cocker Spaniel,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,American Eskimo,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,American Indian,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,American Johnson Bulldog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,American Spitz,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
