Site,Species,Breed,Pet_DOB,Gender,Neutered,Purchase_Price
PDSA,Dog,A MEDIUM MONGREL (10 - 20KG),01/02/2017,Male,Yes,600
PDSA,Dog,A SMALL MONGREL (UP TO 10KG),01/12/2018,Male,Yes,550
PDSA,Dog,Australian Shepherd Dog,01/04/2021,Male,No,1600
PDSA,Dog,Bichon Frise,18/01/2019,Male,Yes,550
PDSA,Dog,Bolognese,01/12/2014,Male,Yes,400
PDSA,Dog,Border Collie,15/01/2020,Male,Yes,1100
PDSA,Dog,Border Collie,01/01/2018,Male,Yes,950
PDSA,Dog,Border Terrier,24/09/2017,Female,No,500
PDSA,Dog,Boxer,01/08/2016,Male,No,2000
PDSA,Dog,Bull Terrier,01/02/2021,Female,No,2500
PDSA,Dog,Bulldog,09/12/2019,Female,Yes,2000
PDSA,Dog,Bulldog,01/04/2017,Female,No,1700
PDSA,Dog,Cavalier King Charles Spaniel,01/05/2017,Male,Yes,250
PDSA,Dog,Dachshund (Min Smooth-Haired),01/09/2018,Female,Yes,125
PDSA,Dog,Dachshund (Smooth-Haired),12/06/2014,Female,Yes,50
PDSA,Dog,Dobermann,01/05/2017,Male,Yes,1200
PDSA,Dog,Dogue de Bordeaux,01/12/2021,Female,No,1650
PDSA,Dog,English Bull Terrier,01/11/2021,Female,No,2000
PDSA,Dog,English Bull Terrier,01/03/2021,Male,Yes,350
PDSA,Dog,English Setter,01/10/2021,Male,No,595
PDSA,Dog,German Shorthaired Pointer,01/04/2020,Male,No,1000
PDSA,Dog,German Shorthaired Pointer,01/10/2019,Female,Yes,650
PDSA,Dog,Great Dane,01/12/2020,Female,No,2000
PDSA,Dog,Great Dane,01/01/2020,Male,Yes,1500
PDSA,Dog,Hungarian Vizsla,04/06/2021,Female,No,1900
PDSA,Dog,Irish Setter,01/01/2021,Female,No,1000
PDSA,Dog,Irish Terrier,01/05/2017,Female,No,1000
PDSA,Dog,Jack Russell,01/07/2016,Male,Yes,0
PDSA,Dog,Labradoodle,30/01/2021,Female,Yes,2400
PDSA,Dog,Lhasa Apso,01/02/2016,Male,No,500
PDSA,Dog,Maltese,01/11/2019,Male,Yes,1000
PDSA,Dog,Maltese,01/10/2017,Male,Yes,950
PDSA,Dog,Miniature Pinscher,01/12/2017,Male,Yes,750
PDSA,Dog,Miniature Schnauzer,01/02/2019,Male,Yes,600
PDSA,Dog,Miniature Schnauzer,01/01/2016,Male,No,500
