site,Species,Breed,Age,Gender,Neutered,Purchase Price,Product
Animal Friends,Dog,Cocker Spaniel,2,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Cocker Spaniel,3,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Cocker Spaniel,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Cocker Spaniel,5,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Cocker Spaniel,6,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Cocker Spaniel,7,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Cocker Spaniel,8,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Cocker Spaniel,9,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Cocker Spaniel,10,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Cocker Spaniel,11,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Cocker Spaniel,12,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Cocker Spaniel,13,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Other Small Dog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Chihuahua,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Jack Russell Terrier,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Lhasa Apso,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Shih Tzu,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Patterdale Terrier,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Yorkshire Terrier,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Cockapoo,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Poodle - Toy,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Animal Friends,Dog,Lagotto Romagnolo,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
