Site,Pet,Breed,Age,Gender,Neutered,Purchase Price,Monthly,Yearly,Vet Excess,Annual Condition Limit
Petplan,Dog,Jack Russell Terrier,4,Male,Yes,Covered For Life - £4000 or more,£22.81,£273.72 ,£110,4000
Petplan,Dog,Jack Russell Terrier,4,Male,Yes,Covered For Life - £4000 or more,£29.59,£355.08 ,£110,7000
Petplan,Dog,Jack Russell Terrier,4,Male,Yes,Covered For Life - £4000 or more,£50.03,£600.36 ,£110,12000
Petplan,Dog,Small Mixed Breed,4,Male,Yes,Covered For Life - £4000 or more,£22.81,£273.72 ,£110,4000
Petplan,Dog,Small Mixed Breed,4,Male,Yes,Covered For Life - £4000 or more,£29.59,£355.08 ,£110,7000
Petplan,Dog,Small Mixed Breed,4,Male,Yes,Covered For Life - £4000 or more,£50.03,£600.36 ,£110,12000
Petplan,Dog,Shih Tzu,4,Male,Yes,Covered For Life - £4000 or more,£28.74,£344.88 ,£110,4000
Petplan,Dog,Shih Tzu,4,Male,Yes,Covered For Life - £4000 or more,£37.29,£447.48 ,£110,7000
Petplan,Dog,Shih Tzu,4,Male,Yes,Covered For Life - £4000 or more,£50.85,£610.20 ,£110,12000
Petplan,Dog,Yorkshire Terrier,4,Male,Yes,Covered For Life - £4000 or more,£28.74,£344.88 ,£110,4000
Petplan,Dog,Yorkshire Terrier,4,Male,Yes,Covered For Life - £4000 or more,£37.29,£447.48 ,£110,7000
Petplan,Dog,Yorkshire Terrier,4,Male,Yes,Covered For Life - £4000 or more,£50.85,£610.20 ,£110,12000
Petplan,Dog,Cocker Spaniel,4,Male,Yes,Covered For Life - £4000 or more,£32.11,£385.32 ,£110,4000
Petplan,Dog,Cocker Spaniel,4,Male,Yes,Covered For Life - £4000 or more,£41.67,£500.04 ,£110,7000
Petplan,Dog,Cocker Spaniel,4,Male,Yes,Covered For Life - £4000 or more,£56.81,£681.72 ,£110,12000
Petplan,Dog,Cockapoo,4,Male,Yes,Covered For Life - £4000 or more,£32.11,£385.32 ,£110,4000
Petplan,Dog,Cockapoo,4,Male,Yes,Covered For Life - £4000 or more,£41.67,£500.04 ,£110,7000
Petplan,Dog,Cockapoo,4,Male,Yes,Covered For Life - £4000 or more,£56.81,£681.72 ,£110,12000
Petplan,Dog,Sprocker Spaniel,4,Male,Yes,Covered For Life - £4000 or more,£33.32,£399.84 ,£110,4000
Petplan,Dog,Sprocker Spaniel,4,Male,Yes,Covered For Life - £4000 or more,£43.23,£518.76 ,£110,7000
Petplan,Dog,Sprocker Spaniel,4,Male,Yes,Covered For Life - £4000 or more,£58.94,£707.28 ,£110,12000
Petplan,Dog,Chorkie,4,Male,Yes,Covered For Life - £4000 or more,£30.54,£366.48 ,£110,4000
Petplan,Dog,Chorkie,4,Male,Yes,Covered For Life - £4000 or more,£39.62,£475.44 ,£110,7000
Petplan,Dog,Chorkie,4,Male,Yes,Covered For Life - £4000 or more,£54.03,£648.36 ,£110,12000
Petplan,Dog,Border Terrier,4,Male,Yes,Covered For Life - £4000 or more,£30.63,£367.56 ,£110,4000
Petplan,Dog,Border Terrier,4,Male,Yes,Covered For Life - £4000 or more,£39.75,£477.00 ,£110,7000
Petplan,Dog,Border Terrier,4,Male,Yes,Covered For Life - £4000 or more,£54.63,£655.56 ,£110,12000
Petplan,Dog,Cairn Terrier,4,Male,Yes,Covered For Life - £4000 or more,£31.13,£373.56 ,£110,4000
Petplan,Dog,Cairn Terrier,4,Male,Yes,Covered For Life - £4000 or more,£40.39,£484.68 ,£110,7000
Petplan,Dog,Cairn Terrier,4,Male,Yes,Covered For Life - £4000 or more,£54.63,£655.56 ,£110,12000
Petplan,Dog,Chihuahua,4,Male,Yes,Covered For Life - £4000 or more,£31.19,£374.28 ,£110,4000
Petplan,Dog,Chihuahua,4,Male,Yes,Covered For Life - £4000 or more,£40.47,£485.64 ,£110,7000
Petplan,Dog,Chihuahua,4,Male,Yes,Covered For Life - £4000 or more,£55.18,£662.16 ,£110,12000
Petplan,Dog,Toy Poodle,4,Male,Yes,Covered For Life - £4000 or more,£31.19,£374.28 ,£110,4000
Petplan,Dog,Toy Poodle,4,Male,Yes,Covered For Life - £4000 or more,£40.47,£485.64 ,£110,7000
Petplan,Dog,Toy Poodle,4,Male,Yes,Covered For Life - £4000 or more,£55.18,£662.16 ,£110,12000
Petplan,Dog,Shichon,4,Male,Yes,Covered For Life - £4000 or more,£31.65,£379.80 ,£110,4000
Petplan,Dog,Shichon,4,Male,Yes,Covered For Life - £4000 or more,£41.07,£492.84 ,£110,7000
Petplan,Dog,Shichon,4,Male,Yes,Covered For Life - £4000 or more,£55.55,£666.60 ,£110,12000
Petplan,Dog,Parson Russell Terrier,4,Male,Yes,Covered For Life - £4000 or more,£25.66,£307.92 ,£110,4000
Petplan,Dog,Parson Russell Terrier,4,Male,Yes,Covered For Life - £4000 or more,£33.29,£399.48 ,£110,7000
Petplan,Dog,Parson Russell Terrier,4,Male,Yes,Covered For Life - £4000 or more,£56.27,£675.24 ,£110,12000
Petplan,Dog,Ratonero Bodeguero Andaluz,4,Male,Yes,Covered For Life - £4000 or more,£25.66,£307.92 ,£110,4000
Petplan,Dog,Ratonero Bodeguero Andaluz,4,Male,Yes,Covered For Life - £4000 or more,£33.29,£399.48 ,£110,7000
Petplan,Dog,Ratonero Bodeguero Andaluz,4,Male,Yes,Covered For Life - £4000 or more,£56.27,£675.24 ,£110,12000
Petplan,Dog,Schnauzer,4,Male,Yes,Covered For Life - £4000 or more,£35.23,£422.76 ,£110,4000
Petplan,Dog,Schnauzer,4,Male,Yes,Covered For Life - £4000 or more,£45.72,£548.64 ,£110,7000
Petplan,Dog,Schnauzer,4,Male,Yes,Covered For Life - £4000 or more,£56.68,£680.16 ,£110,12000
Petplan,Dog,Miniature Poodle,4,Male,Yes,Covered For Life - £4000 or more,£32.41,£388.92 ,£110,4000
Petplan,Dog,Miniature Poodle,4,Male,Yes,Covered For Life - £4000 or more,£42.06,£504.72 ,£110,7000
Petplan,Dog,Miniature Poodle,4,Male,Yes,Covered For Life - £4000 or more,£56.89,£682.68 ,£110,12000
Petplan,Dog,Pomeranian,4,Male,Yes,Covered For Life - £4000 or more,£32.36,£388.32 ,£110,4000
Petplan,Dog,Pomeranian,4,Male,Yes,Covered For Life - £4000 or more,£41.99,£503.88 ,£110,7000
Petplan,Dog,Pomeranian,4,Male,Yes,Covered For Life - £4000 or more,£57.24,£686.88 ,£110,12000
Petplan,Dog,Dachshund,4,Male,Yes,Covered For Life - £4000 or more,£32.19,£386.28 ,£110,4000
Petplan,Dog,Dachshund,4,Male,Yes,Covered For Life - £4000 or more,£41.77,£501.24 ,£110,7000
Petplan,Dog,Dachshund,4,Male,Yes,Covered For Life - £4000 or more,£57.18,£686.16 ,£110,12000
Petplan,Dog,English Springer Spaniel,4,Male,Yes,Covered For Life - £4000 or more,£36.13,£433.56 ,£110,4000
Petplan,Dog,English Springer Spaniel,4,Male,Yes,Covered For Life - £4000 or more,£46.88,£562.56 ,£110,7000
Petplan,Dog,English Springer Spaniel,4,Male,Yes,Covered For Life - £4000 or more,£63.91,£766.92 ,£110,12000
Petplan,Dog,Welsh Springer Spaniel,4,Male,Yes,Covered For Life - £4000 or more,£36.13,£433.56 ,£110,4000
Petplan,Dog,Welsh Springer Spaniel,4,Male,Yes,Covered For Life - £4000 or more,£46.88,£562.56 ,£110,7000
Petplan,Dog,Welsh Springer Spaniel,4,Male,Yes,Covered For Life - £4000 or more,£63.91,£766.92 ,£110,12000
Petplan,Dog,Sussex Spaniel,4,Male,Yes,Covered For Life - £4000 or more,£33.12,£397.44 ,£110,4000
Petplan,Dog,Sussex Spaniel,4,Male,Yes,Covered For Life - £4000 or more,£42.97,£515.64 ,£110,7000
Petplan,Dog,Sussex Spaniel,4,Male,Yes,Covered For Life - £4000 or more,£58.36,£700.32 ,£110,12000
Petplan,Dog,Wauzer,4,Male,Yes,Covered For Life - £4000 or more,£33.12,£397.44 ,£110,4000
Petplan,Dog,Wauzer,4,Male,Yes,Covered For Life - £4000 or more,£42.97,£515.64 ,£110,7000
Petplan,Dog,Wauzer,4,Male,Yes,Covered For Life - £4000 or more,£58.36,£700.32 ,£110,12000
Petplan,Dog,Cavachon,4,Male,Yes,Covered For Life - £4000 or more,£36.84,£442.08 ,£110,4000
Petplan,Dog,Cavachon,4,Male,Yes,Covered For Life - £4000 or more,£47.81,£573.72 ,£110,7000
Petplan,Dog,Cavachon,4,Male,Yes,Covered For Life - £4000 or more,£64.64,£775.68 ,£110,12000
Petplan,Dog,Cavapoo,4,Male,Yes,Covered For Life - £4000 or more,£36.84,£442.08 ,£110,4000
Petplan,Dog,Cavapoo,4,Male,Yes,Covered For Life - £4000 or more,£47.81,£573.72 ,£110,7000
Petplan,Dog,Cavapoo,4,Male,Yes,Covered For Life - £4000 or more,£64.64,£775.68 ,£110,12000
Petplan,Dog,Whippet,4,Male,Yes,Covered For Life - £4000 or more,£34.89,£418.68 ,£110,4000
Petplan,Dog,Whippet,4,Male,Yes,Covered For Life - £4000 or more,£45.28,£543.36 ,£110,7000
Petplan,Dog,Whippet,4,Male,Yes,Covered For Life - £4000 or more,£59.11,£709.32 ,£110,12000
Petplan,Dog,Poodle,4,Male,Yes,Covered For Life - £4000 or more,£34.09,£409.08 ,£110,4000
Petplan,Dog,Poodle,4,Male,Yes,Covered For Life - £4000 or more,£44.24,£530.88 ,£110,7000
Petplan,Dog,Poodle,4,Male,Yes,Covered For Life - £4000 or more,£60.08,£720.96 ,£110,12000
Petplan,Dog,Bichon Frise,4,Male,Yes,Covered For Life - £4000 or more,£34.32,£411.84 ,£110,4000
Petplan,Dog,Bichon Frise,4,Male,Yes,Covered For Life - £4000 or more,£44.54,£534.48 ,£110,7000
Petplan,Dog,Bichon Frise,4,Male,Yes,Covered For Life - £4000 or more,£60.23,£722.76 ,£110,12000
Petplan,Dog,West Highland White Terrier,4,Male,Yes,Covered For Life - £4000 or more,£34.32,£411.84 ,£110,4000
Petplan,Dog,West Highland White Terrier,4,Male,Yes,Covered For Life - £4000 or more,£44.54,£534.48 ,£110,7000
Petplan,Dog,West Highland White Terrier,4,Male,Yes,Covered For Life - £4000 or more,£60.23,£722.76 ,£110,12000
Petplan,Dog,Miniature Dachshund,4,Male,Yes,Covered For Life - £4000 or more,£34.08,£408.96 ,£110,4000
