Site,Pet,Breed,Age,Gender,Neutered,Monthly,Yearly,Vet Excess,Annual Condition Limit
Animal Friends,Dog,Cocker Spaniel,2,Male,Yes,£10.17,£122.04,£99,1000
Animal Friends,Dog,Cocker Spaniel,2,Male,Yes,£17.75,£213.00,£99,2000
Animal Friends,Dog,Cocker Spaniel,2,Male,Yes,£26.22,£314.64,£99,4000
Animal Friends,Dog,Cocker Spaniel,3,Male,Yes,£10.17,£122.04,£99,1000
Animal Friends,Dog,Cocker Spaniel,3,Male,Yes,£17.75,£213.00,£99,2000
Animal Friends,Dog,Cocker Spaniel,3,Male,Yes,£26.22,£314.64,£99,4000
Animal Friends,Dog,Cocker Spaniel,4,Male,Yes,£10.17,£122.04,£99,1000
Animal Friends,Dog,Cocker Spaniel,4,Male,Yes,£17.75,£213.00,£99,2000
Animal Friends,Dog,Cocker Spaniel,4,Male,Yes,£26.22,£314.64,£99,4000
Animal Friends,Dog,Cocker Spaniel,5,Male,Yes,£10.17,£122.04,£99,1000
Animal Friends,Dog,Cocker Spaniel,5,Male,Yes,£17.75,£213.00,£99,2000
Animal Friends,Dog,Cocker Spaniel,5,Male,Yes,£26.22,£314.64,£99,4000
Animal Friends,Dog,Cocker Spaniel,6,Male,Yes,£12.21,£146.52,£99,1000
Animal Friends,Dog,Cocker Spaniel,6,Male,Yes,£21.31,£255.72,£99,2000
Animal Friends,Dog,Cocker Spaniel,6,Male,Yes,£31.48,£377.76,£99,4000
Animal Friends,Dog,Cocker Spaniel,7,Male,Yes,£14.73,£176.76,£99,1000
Animal Friends,Dog,Cocker Spaniel,7,Male,Yes,£25.72,£308.64,£99,2000
Animal Friends,Dog,Cocker Spaniel,7,Male,Yes,£37.99,£455.88,£99,4000
Animal Friends,Dog,Cocker Spaniel,8,Male,Yes,£17.39,£208.68,£99,1000
Animal Friends,Dog,Cocker Spaniel,8,Male,Yes,£30.35,£364.20,£99,2000
Animal Friends,Dog,Cocker Spaniel,8,Male,Yes,£44.84,£538.08,£99,4000
Animal Friends,Dog,Cocker Spaniel,9,Male,Yes,£14.38,£172.56,£99,1000
Animal Friends,Dog,Cocker Spaniel,9,Male,Yes,£25.10,£301.20,£99,2000
Animal Friends,Dog,Cocker Spaniel,9,Male,Yes,£37.07,£444.84,£99,4000
Animal Friends,Dog,Cocker Spaniel,10,Male,Yes,£15.97,£191.64,£99,1000
Animal Friends,Dog,Cocker Spaniel,10,Male,Yes,£27.88,£334.56,£99,2000
Animal Friends,Dog,Cocker Spaniel,10,Male,Yes,£41.18,£494.16,£99,4000
Animal Friends,Dog,Cocker Spaniel,11,Male,Yes,£17.51,£210.12,£99,1000
Animal Friends,Dog,Cocker Spaniel,11,Male,Yes,£30.55,£366.60,£99,2000
Animal Friends,Dog,Cocker Spaniel,11,Male,Yes,£45.14,£541.68,£99,4000
Animal Friends,Dog,Cocker Spaniel,12,Male,Yes,£19.01,£228.12,£99,1000
Animal Friends,Dog,Cocker Spaniel,12,Male,Yes,£33.17,£398.04,£99,2000
Animal Friends,Dog,Cocker Spaniel,12,Male,Yes,£49.01,£588.12,£99,4000
Animal Friends,Dog,Cocker Spaniel,13,Male,Yes,£19.63,£235.56,£99,1000
Animal Friends,Dog,Cocker Spaniel,13,Male,Yes,£34.28,£411.36,£99,2000
Animal Friends,Dog,Cocker Spaniel,13,Male,Yes,£50.64,£607.68,£99,4000
Animal Friends,Dog,Small Crossbreed,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Small Crossbreed,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Small Crossbreed,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Medium Crossbreed,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Medium Crossbreed,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Medium Crossbreed,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Shih Tzu,4,Male,Yes,£7.12,£85.44,£99,1000
Animal Friends,Dog,Shih Tzu,4,Male,Yes,£12.44,£149.28,£99,2000
Animal Friends,Dog,Shih Tzu,4,Male,Yes,£18.38,£220.56,£99,4000
Animal Friends,Dog,Labrador Retriever,4,Male,Yes,£11.16,£133.92,£99,1000
Animal Friends,Dog,Labrador Retriever,4,Male,Yes,£19.48,£233.76,£99,2000
Animal Friends,Dog,Labrador Retriever,4,Male,Yes,£28.77,£345.24,£99,4000
Animal Friends,Dog,Border Collie,4,Male,Yes,£9.07,£108.84,£99,1000
Animal Friends,Dog,Border Collie,4,Male,Yes,£15.84,£190.08,£99,2000
Animal Friends,Dog,Border Collie,4,Male,Yes,£23.40,£280.80,£99,4000
Animal Friends,Dog,Beagle,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Beagle,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Beagle,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Yorkshire Terrier,4,Male,Yes,£7.41,£88.92,£99,1000
Animal Friends,Dog,Yorkshire Terrier,4,Male,Yes,£12.94,£155.28,£99,2000
Animal Friends,Dog,Yorkshire Terrier,4,Male,Yes,£19.12,£229.44,£99,4000
Animal Friends,Dog,Bulldog,4,Male,Yes,£20.27,£243.24,£99,1000
Animal Friends,Dog,Bulldog,4,Male,Yes,£35.38,£424.56,£99,2000
Animal Friends,Dog,Bulldog,4,Male,Yes,£52.27,£627.24,£99,4000
Animal Friends,Dog,Cocker Spaniel,4,Male,No,£10.17,£122.04,£99,1000
Animal Friends,Dog,Cocker Spaniel,4,Male,No,£17.75,£213.00,£99,2000
Animal Friends,Dog,Cocker Spaniel,4,Male,No,£26.22,£314.64,£99,4000
Animal Friends,Dog,Cocker Spaniel,4,Female,Yes,£10.17,£122.04,£99,1000
Animal Friends,Dog,Cocker Spaniel,4,Female,Yes,£17.75,£213.00,£99,2000
Animal Friends,Dog,Cocker Spaniel,4,Female,Yes,£26.22,£314.64,£99,4000
Animal Friends,Dog,Cocker Spaniel,4,Female,No,£10.17,£122.04,£99,1000
Animal Friends,Dog,Cocker Spaniel,4,Female,No,£17.75,£213.00,£99,2000
Animal Friends,Dog,Cocker Spaniel,4,Female,No,£26.22,£314.64,£99,4000
Animal Friends,Cat,Moggie,2,Female,Yes,£5.26,£63.12,£99,1000
Animal Friends,Cat,Moggie,2,Female,Yes,£8.34,£100.08,£99,2000
Animal Friends,Cat,Moggie,2,Female,Yes,£12.35,£148.20,£99,4000
Animal Friends,Cat,Moggie,3,Female,Yes,£5.26,£63.12,£99,1000
Animal Friends,Cat,Moggie,3,Female,Yes,£8.34,£100.08,£99,2000
Animal Friends,Cat,Moggie,3,Female,Yes,£12.35,£148.20,£99,4000
