Site,Pet,Breed,Age,Gender,Neutered,Monthly,Yearly,Vet Excess,Annual Condition Limit
Animal Friends,Dog,Abyssinian Sand Terrier,4,Male,Yes,£9.07,£108.84,£99,1000
Animal Friends,Dog,Abyssinian Sand Terrier,4,Male,Yes,£15.84,£190.08,£99,2000
Animal Friends,Dog,Abyssinian Sand Terrier,4,Male,Yes,£23.40,£280.80,£99,4000
Animal Friends,Dog,Affenpinscher,4,Male,Yes,£9.07,£108.84,£99,1000
Animal Friends,Dog,Affenpinscher,4,Male,Yes,£15.84,£190.08,£99,2000
Animal Friends,Dog,Affenpinscher,4,Male,Yes,£23.40,£280.80,£99,4000
Animal Friends,Dog,Afghan Hound,4,Male,Yes,£14.90,£178.80,£99,1000
Animal Friends,Dog,Afghan Hound,4,Male,Yes,£26.01,£312.12,£99,2000
Animal Friends,Dog,Afghan Hound,4,Male,Yes,£38.42,£461.04,£99,4000
Animal Friends,Dog,African Crested Dog,4,Male,Yes,£9.07,£108.84,£99,1000
Animal Friends,Dog,African Crested Dog,4,Male,Yes,£15.84,£190.08,£99,2000
Animal Friends,Dog,African Crested Dog,4,Male,Yes,£23.40,£280.80,£99,4000
Animal Friends,Dog,African Hairless,4,Male,Yes,£9.07,£108.84,£99,1000
Animal Friends,Dog,African Hairless,4,Male,Yes,£15.84,£190.08,£99,2000
Animal Friends,Dog,African Hairless,4,Male,Yes,£23.40,£280.80,£99,4000
Animal Friends,Dog,Ainu (Hokkaido),4,Male,Yes,£9.67,£116.04,£99,1000
Animal Friends,Dog,Ainu (Hokkaido),4,Male,Yes,£16.87,£202.44,£99,2000
Animal Friends,Dog,Ainu (Hokkaido),4,Male,Yes,£24.93,£299.16,£99,4000
Animal Friends,Dog,Ainu-ken,4,Male,Yes,£9.67,£116.04,£99,1000
Animal Friends,Dog,Ainu-ken,4,Male,Yes,£16.87,£202.44,£99,2000
Animal Friends,Dog,Ainu-ken,4,Male,Yes,£24.93,£299.16,£99,4000
Animal Friends,Dog,Airedale,4,Male,Yes,£12.61,£151.32,£99,1000
Animal Friends,Dog,Airedale,4,Male,Yes,£22.02,£264.24,£99,2000
Animal Friends,Dog,Airedale,4,Male,Yes,£32.52,£390.24,£99,4000
Animal Friends,Dog,Airedale Terrier,4,Male,Yes,£12.61,£151.32,£99,1000
Animal Friends,Dog,Airedale Terrier,4,Male,Yes,£22.02,£264.24,£99,2000
Animal Friends,Dog,Airedale Terrier,4,Male,Yes,£32.52,£390.24,£99,4000
Animal Friends,Dog,Aladseer,4,Male,Yes,£19.91,£238.92,£99,1000
Animal Friends,Dog,Aladseer,4,Male,Yes,£34.76,£417.12,£99,2000
Animal Friends,Dog,Aladseer,4,Male,Yes,£51.35,£616.20,£99,4000
Animal Friends,Dog,Alaskan Husky,4,Male,Yes,£9.67,£116.04,£99,1000
Animal Friends,Dog,Alaskan Husky,4,Male,Yes,£16.87,£202.44,£99,2000
Animal Friends,Dog,Alaskan Husky,4,Male,Yes,£24.93,£299.16,£99,4000
Animal Friends,Dog,Alaskan Kleekai,4,Male,Yes,£9.67,£116.04,£99,1000
Animal Friends,Dog,Alaskan Kleekai,4,Male,Yes,£16.87,£202.44,£99,2000
Animal Friends,Dog,Alaskan Kleekai,4,Male,Yes,£24.93,£299.16,£99,4000
Animal Friends,Dog,Alaskan Malamute,4,Male,Yes,£12.61,£151.32,£99,1000
Animal Friends,Dog,Alaskan Malamute,4,Male,Yes,£22.02,£264.24,£99,2000
Animal Friends,Dog,Alaskan Malamute,4,Male,Yes,£32.52,£390.24,£99,4000
Animal Friends,Dog,Alpine Dachsbracke,4,Male,Yes,£12.61,£151.32,£99,1000
Animal Friends,Dog,Alpine Dachsbracke,4,Male,Yes,£22.02,£264.24,£99,2000
Animal Friends,Dog,Alpine Dachsbracke,4,Male,Yes,£32.52,£390.24,£99,4000
Animal Friends,Dog,American Bulldog,4,Male,Yes,£20.74,£248.88,£99,1000
Animal Friends,Dog,American Bulldog,4,Male,Yes,£36.20,£434.40,£99,2000
Animal Friends,Dog,American Bulldog,4,Male,Yes,£53.47,£641.64,£99,4000
Animal Friends,Dog,American Bullmastiff,4,Male,Yes,£23.33,£279.96,£99,1000
Animal Friends,Dog,American Bullmastiff,4,Male,Yes,£40.73,£488.76,£99,2000
Animal Friends,Dog,American Bullmastiff,4,Male,Yes,£60.17,£722.04,£99,4000
Animal Friends,Dog,American Cocker Spaniel,4,Male,Yes,£12.61,£151.32,£99,1000
Animal Friends,Dog,American Cocker Spaniel,4,Male,Yes,£22.02,£264.24,£99,2000
Animal Friends,Dog,American Cocker Spaniel,4,Male,Yes,£32.52,£390.24,£99,4000
Animal Friends,Dog,American Eskimo,4,Male,Yes,£9.67,£116.04,£99,1000
Animal Friends,Dog,American Eskimo,4,Male,Yes,£16.87,£202.44,£99,2000
Animal Friends,Dog,American Eskimo,4,Male,Yes,£24.93,£299.16,£99,4000
Animal Friends,Dog,American Indian,4,Male,Yes,£12.61,£151.32,£99,1000
Animal Friends,Dog,American Indian,4,Male,Yes,£22.02,£264.24,£99,2000
Animal Friends,Dog,American Indian,4,Male,Yes,£32.52,£390.24,£99,4000
Animal Friends,Dog,American Johnson Bulldog,4,Male,Yes,£20.74,£248.88,£99,1000
Animal Friends,Dog,American Johnson Bulldog,4,Male,Yes,£36.20,£434.40,£99,2000
Animal Friends,Dog,American Johnson Bulldog,4,Male,Yes,£53.47,£641.64,£99,4000
