site,Species,Breed,Age,Gender,Neutered,Purchase Price,Product
Pet Plan,Dog,Aberdeen Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Abyssinian Sand Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Affenpinscher,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Afghan Hound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Africanis,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Aidi (Atlas Sheepdog),4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Airedale Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Airedoodle,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Akbash,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Akita,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Alaskan Kleekai,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Alaskan Malador,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Alaskan Malamute,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Alaskan Shepherd,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Alaunt,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Alpha Blue Bulldog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Alpine Dachsbracke,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Alsatian,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Alusky,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,American Akita,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,American Bulldog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,American Bullmastiff,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,American Cocker Spaniel,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,American English Coonhound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,American Field Labrador,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,American Foxhound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,American Hairless Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,American Hunt Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,American Indian Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,American Johnson Bulldog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,American Spitz,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,American Water Spaniel,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Anatolian Karabash Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Anatolian Shepherd Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Anglo Francais De Moyen Venerie,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Appenzeller Sennenhund,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Ariegeois,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Australian Bull Arab,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Australian Cattle Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Australian Kelpie Sheepdog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Australian Labradoodle,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Australian Shepherd Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Australian Silky Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Australian Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Aylestone Old Tyme Bulldog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Azawakh,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Azores Cattle Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bagle Hound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Balkan Hound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bosnian Coarse-haired Hound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Barbado Da Terceira,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Barbet,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Basenji,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Basque Shepherd,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Basser Bleu De Gascogne,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Basset Artesien Normand,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Basset Fauve De Bretagne,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Basset Griffon Vendeen,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Basset Hound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bavarian Mountain Hound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Beagle,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Beagle Harrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Beaglier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Beago Retriever,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bearded Collie,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Beaucheron,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bedlington Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bedoodle,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Belgian Laekenois Shepherd Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Belgian Shepherd Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bergamasco Shepherd Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Berger De Picard,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Berger De Pyrenees,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bernese Mountain Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bich-Poo,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bichon A Ranian,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bichon Frise,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bichon Noir,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Biewer Terrier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Black Labrador,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Black Mouth Cur,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Black Russian,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Black and Tan Coonhound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bloodhound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Blue Merle Welsh Collie,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bluetick Coonhound,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Boerboel,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bohemian Pointing Griffon,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bolognese,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bolonka Zwetneya,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Bolonoodle,4,Male,Yes,Free,Covered For Life - £4000 or more
